DATE,TIME,実績(万kW)
2020/1/6,18:00,4154
2020/1/6,19:00,4077
2020/1/6,20:00,3965
2020/1/6,21:00,3804
2020/1/6,22:00,3600
2020/1/6,23:00,3338
2020/1/7,0:00,3054
2020/1/7,1:00,2903
2020/1/7,2:00,2857
2020/1/7,3:00,2843
2020/1/7,4:00,2873
2020/1/7,5:00,3075
2020/1/7,6:00,3534
2020/1/7,7:00,3903
2020/1/7,8:00,4291
2020/1/7,9:00,4485
2020/1/7,10:00,4403
2020/1/7,11:00,4334
2020/1/7,12:00,4201
2020/1/7,13:00,4294
2020/1/7,14:00,4278
2020/1/7,15:00,4311
2020/1/7,16:00,4466
2020/1/7,17:00,4501
2020/1/7,18:00,4442
2020/1/7,19:00,4335
2020/1/7,20:00,4208
2020/1/7,21:00,4010
2020/1/7,22:00,3773
2020/1/7,23:00,3494
2020/1/8,0:00,3174
2020/1/8,1:00,2998
2020/1/8,2:00,2916
2020/1/8,3:00,2882
2020/1/8,4:00,2909
2020/1/8,5:00,3091
2020/1/8,6:00,3537
2020/1/8,7:00,3940
2020/1/8,8:00,4355
2020/1/8,9:00,4653
2020/1/8,10:00,4638
2020/1/8,11:00,4631
2020/1/8,12:00,4287
2020/1/8,13:00,4315
2020/1/8,14:00,4206
2020/1/8,15:00,4138
2020/1/8,16:00,4272
2020/1/8,17:00,4399
2020/1/8,18:00,4363
2020/1/8,19:00,4263
2020/1/8,20:00,4134
2020/1/8,21:00,3950
2020/1/8,22:00,3725
2020/1/8,23:00,3430
2020/1/9,0:00,3108
2020/1/9,1:00,2927
2020/1/9,2:00,2852
2020/1/9,3:00,2823
2020/1/9,4:00,2862
2020/1/9,5:00,3040
2020/1/9,6:00,3463
2020/1/9,7:00,3750
2020/1/9,8:00,3966
2020/1/9,9:00,4010
2020/1/9,10:00,3887
2020/1/9,11:00,3786
2020/1/9,12:00,3585
2020/1/9,13:00,3679
2020/1/9,14:00,3663
2020/1/9,15:00,3693
2020/1/9,16:00,3878
2020/1/9,17:00,4090
2020/1/9,18:00,4086
2020/1/9,19:00,3994
2020/1/9,20:00,3876
2020/1/9,21:00,3705
2020/1/9,22:00,3522
2020/1/9,23:00,3285
2020/1/10,0:00,3009
2020/1/10,1:00,2864
2020/1/10,2:00,2818
2020/1/10,3:00,2817
2020/1/10,4:00,2870
2020/1/10,5:00,3072
2020/1/10,6:00,3504
2020/1/10,7:00,3840
2020/1/10,8:00,4095
2020/1/10,9:00,4127
2020/1/10,10:00,3959
2020/1/10,11:00,3859
2020/1/10,12:00,3684
2020/1/10,13:00,3756
2020/1/10,14:00,3739
2020/1/10,15:00,3774
2020/1/10,16:00,3936
2020/1/10,17:00,4124
2020/1/10,18:00,4115
2020/1/10,19:00,4022
2020/1/10,20:00,3913
2020/1/10,21:00,3769
2020/1/10,22:00,3615
2020/1/10,23:00,3399
2020/1/11,0:00,3139
2020/1/11,1:00,2982
2020/1/11,2:00,2902
2020/1/11,3:00,2857
2020/1/11,4:00,2844
2020/1/11,5:00,2907
2020/1/11,6:00,3121
2020/1/11,7:00,3411
2020/1/11,8:00,3812
2020/1/11,9:00,4001
2020/1/11,10:00,3899
2020/1/11,11:00,3729
2020/1/11,12:00,3520
2020/1/11,13:00,3417
2020/1/11,14:00,3355
2020/1/11,15:00,3355
2020/1/11,16:00,3521
2020/1/11,17:00,3786
2020/1/11,18:00,3832
2020/1/11,19:00,3800
2020/1/11,20:00,3724
2020/1/11,21:00,3591
2020/1/11,22:00,3402
2020/1/11,23:00,3229
2020/1/12,0:00,3007
2020/1/12,1:00,2871
2020/1/12,2:00,2807
2020/1/12,3:00,2774
2020/1/12,4:00,2764
2020/1/12,5:00,2818
2020/1/12,6:00,2998
2020/1/12,7:00,3223
2020/1/12,8:00,3461
2020/1/12,9:00,3603
2020/1/12,10:00,3587
2020/1/12,11:00,3477
2020/1/12,12:00,3389
2020/1/12,13:00,3359
2020/1/12,14:00,3291
2020/1/12,15:00,3354
2020/1/12,16:00,3538
2020/1/12,17:00,3763
2020/1/12,18:00,3796
2020/1/12,19:00,3750
2020/1/12,20:00,3663
2020/1/12,21:00,3511
2020/1/12,22:00,3307
2020/1/12,23:00,3109
2020/1/13,0:00,2868
2020/1/13,1:00,2737
2020/1/13,2:00,2692
2020/1/13,3:00,2674
2020/1/13,4:00,2699
2020/1/13,5:00,2796
2020/1/13,6:00,3025
2020/1/13,7:00,3283
2020/1/13,8:00,3550
2020/1/13,9:00,3586
2020/1/13,10:00,3481
2020/1/13,11:00,3376
2020/1/13,12:00,3247
2020/1/13,13:00,3242
2020/1/13,14:00,3212
2020/1/13,15:00,3249
2020/1/13,16:00,3405
2020/1/13,17:00,3713
2020/1/13,18:00,3812
2020/1/13,19:00,3783
2020/1/13,20:00,3713
2020/1/13,21:00,3558
2020/1/13,22:00,3338
2020/1/13,23:00,3102
2020/1/14,0:00,2857
2020/1/14,1:00,2742
2020/1/14,2:00,2717
2020/1/14,3:00,2726
2020/1/14,4:00,2790
2020/1/14,5:00,3035
2020/1/14,6:00,3468
2020/1/14,7:00,3800
2020/1/14,8:00,4057
2020/1/14,9:00,4124
2020/1/14,10:00,4004
2020/1/14,11:00,3940
2020/1/14,12:00,3742
2020/1/14,13:00,3814
2020/1/14,14:00,3771
2020/1/14,15:00,3770
2020/1/14,16:00,3944
2020/1/14,17:00,4131
2020/1/14,18:00,4112
2020/1/14,19:00,4007
2020/1/14,20:00,3888
2020/1/14,21:00,3718
2020/1/14,22:00,3522
2020/1/14,23:00,3269
2020/1/15,0:00,2975
2020/1/15,1:00,2830
2020/1/15,2:00,2793
2020/1/15,3:00,2792
2020/1/15,4:00,2849
2020/1/15,5:00,3023
2020/1/15,6:00,3422
2020/1/15,7:00,3810
2020/1/15,8:00,4224
2020/1/15,9:00,4414
2020/1/15,10:00,4335
2020/1/15,11:00,4256
2020/1/15,12:00,3985
2020/1/15,13:00,4020
2020/1/15,14:00,3943
2020/1/15,15:00,3943
2020/1/15,16:00,4094
2020/1/15,17:00,4278
2020/1/15,18:00,4274
2020/1/15,19:00,4187
2020/1/15,20:00,4071
2020/1/15,21:00,3913
2020/1/15,22:00,3714
2020/1/15,23:00,3468
2020/1/16,0:00,3179
2020/1/16,1:00,3015
2020/1/16,2:00,2960
2020/1/16,3:00,2939
2020/1/16,4:00,2973
2020/1/16,5:00,3179
2020/1/16,6:00,3658
2020/1/16,7:00,3990
2020/1/16,8:00,4228
2020/1/16,9:00,4280
2020/1/16,10:00,4167
2020/1/16,11:00,4113
2020/1/16,12:00,3947
2020/1/16,13:00,4022
2020/1/16,14:00,3980
2020/1/16,15:00,3966
2020/1/16,16:00,4126
2020/1/16,17:00,4332
2020/1/16,18:00,4330
2020/1/16,19:00,4241
2020/1/16,20:00,4130
2020/1/16,21:00,3956
2020/1/16,22:00,3746
2020/1/16,23:00,3486
2020/1/17,0:00,3199
2020/1/17,1:00,3034
2020/1/17,2:00,2961
2020/1/17,3:00,2940
2020/1/17,4:00,2973
2020/1/17,5:00,3175
2020/1/17,6:00,3654
2020/1/17,7:00,4032
2020/1/17,8:00,4405
2020/1/17,9:00,4559
2020/1/17,10:00,4384
2020/1/17,11:00,4171
2020/1/17,12:00,3848
2020/1/17,13:00,3977
2020/1/17,14:00,4009
2020/1/17,15:00,4032
2020/1/17,16:00,4177
2020/1/17,17:00,4286
2020/1/17,18:00,4243
2020/1/17,19:00,4127
2020/1/17,20:00,4001
2020/1/17,21:00,3829
2020/1/17,22:00,3653
2020/1/17,23:00,3432
2020/1/18,0:00,3150
2020/1/18,1:00,2987
2020/1/18,2:00,2916
2020/1/18,3:00,2890
2020/1/18,4:00,2891
2020/1/18,5:00,2963
2020/1/18,6:00,3201
2020/1/18,7:00,3574
2020/1/18,8:00,4069
2020/1/18,9:00,4373
2020/1/18,10:00,4448
2020/1/18,11:00,4443
2020/1/18,12:00,4352
2020/1/18,13:00,4329
2020/1/18,14:00,4275
2020/1/18,15:00,4240
2020/1/18,16:00,4346
2020/1/18,17:00,4418
2020/1/18,18:00,4377
2020/1/18,19:00,4267
2020/1/18,20:00,4139
2020/1/18,21:00,3941
2020/1/18,22:00,3688
2020/1/18,23:00,3449
2020/1/19,0:00,3170
2020/1/19,1:00,2993
2020/1/19,2:00,2902
2020/1/19,3:00,2852
2020/1/19,4:00,2838
2020/1/19,5:00,2906
2020/1/19,6:00,3102
2020/1/19,7:00,3350
2020/1/19,8:00,3515
2020/1/19,9:00,3490
2020/1/19,10:00,3364
2020/1/19,11:00,3256
2020/1/19,12:00,3171
2020/1/19,13:00,3110
2020/1/19,14:00,3081
2020/1/19,15:00,3165
2020/1/19,16:00,3390
2020/1/19,17:00,3744
2020/1/19,18:00,3855
2020/1/19,19:00,3835
2020/1/19,20:00,3759
2020/1/19,21:00,3606
2020/1/19,22:00,3375
2020/1/19,23:00,3165
2020/1/20,0:00,2932
2020/1/20,1:00,2816
2020/1/20,2:00,2788
2020/1/20,3:00,2788
2020/1/20,4:00,2857
2020/1/20,5:00,3110
2020/1/20,6:00,3631
2020/1/20,7:00,4005
2020/1/20,8:00,4228
2020/1/20,9:00,4240
2020/1/20,10:00,4067
2020/1/20,11:00,3915
2020/1/20,12:00,3659
2020/1/20,13:00,3727
2020/1/20,14:00,3707
2020/1/20,15:00,3712
2020/1/20,16:00,3852
2020/1/20,17:00,4110
2020/1/20,18:00,4149
2020/1/20,19:00,4061
2020/1/20,20:00,3951
2020/1/20,21:00,3808
2020/1/20,22:00,3621
2020/1/20,23:00,3388
2020/1/21,0:00,3120
2020/1/21,1:00,2975
2020/1/21,2:00,2931
2020/1/21,3:00,2915
2020/1/21,4:00,2961
2020/1/21,5:00,3161
2020/1/21,6:00,3611
2020/1/21,7:00,3914
2020/1/21,8:00,4116
2020/1/21,9:00,4157
2020/1/21,10:00,4029
2020/1/21,11:00,3927
2020/1/21,12:00,3699
2020/1/21,13:00,3798
2020/1/21,14:00,3800
2020/1/21,15:00,3857
2020/1/21,16:00,4061
2020/1/21,17:00,4325
2020/1/21,18:00,4362
2020/1/21,19:00,4288
2020/1/21,20:00,4186
2020/1/21,21:00,4024
2020/1/21,22:00,3814
2020/1/21,23:00,3570
2020/1/22,0:00,3278
2020/1/22,1:00,3116
2020/1/22,2:00,3049
2020/1/22,3:00,3026
2020/1/22,4:00,3063
2020/1/22,5:00,3279
2020/1/22,6:00,3782
2020/1/22,7:00,4179
2020/1/22,8:00,4567
2020/1/22,9:00,4735
2020/1/22,10:00,4616
2020/1/22,11:00,4508
2020/1/22,12:00,4247
2020/1/22,13:00,4297
2020/1/22,14:00,4242
2020/1/22,15:00,4217
2020/1/22,16:00,4353
2020/1/22,17:00,4518
2020/1/22,18:00,4493
2020/1/22,19:00,4385
2020/1/22,20:00,4262
2020/1/22,21:00,4065
2020/1/22,22:00,3828
2020/1/22,23:00,3545
2020/1/23,0:00,3229
2020/1/23,1:00,3057
2020/1/23,2:00,2982
2020/1/23,3:00,2956
2020/1/23,4:00,2992
2020/1/23,5:00,3197
2020/1/23,6:00,3668
2020/1/23,7:00,4079
2020/1/23,8:00,4477
2020/1/23,9:00,4727
2020/1/23,10:00,4667
2020/1/23,11:00,4556
2020/1/23,12:00,4327
2020/1/23,13:00,4412
2020/1/23,14:00,4404
2020/1/23,15:00,4404
2020/1/23,16:00,4506
2020/1/23,17:00,4548
2020/1/23,18:00,4470
2020/1/23,19:00,4324
2020/1/23,20:00,4159
2020/1/23,21:00,3942
2020/1/23,22:00,3710
2020/1/23,23:00,3418
2020/1/24,0:00,3107
2020/1/24,1:00,2949
2020/1/24,2:00,2886
2020/1/24,3:00,2861
2020/1/24,4:00,2905
2020/1/24,5:00,3091
2020/1/24,6:00,3505
2020/1/24,7:00,3828
2020/1/24,8:00,4122
2020/1/24,9:00,4222
2020/1/24,10:00,4071
2020/1/24,11:00,3977
2020/1/24,12:00,3755
2020/1/24,13:00,3796
2020/1/24,14:00,3743
2020/1/24,15:00,3736
2020/1/24,16:00,3843
2020/1/24,17:00,3999
2020/1/24,18:00,3978
2020/1/24,19:00,3877
2020/1/24,20:00,3780
2020/1/24,21:00,3646
2020/1/24,22:00,3521
2020/1/24,23:00,3317
2020/1/25,0:00,3070
2020/1/25,1:00,2927
2020/1/25,2:00,2868
2020/1/25,3:00,2836
2020/1/25,4:00,2840
2020/1/25,5:00,2921
2020/1/25,6:00,3130
2020/1/25,7:00,3378
2020/1/25,8:00,3671
2020/1/25,9:00,3804
2020/1/25,10:00,3752
2020/1/25,11:00,3666
2020/1/25,12:00,3487
2020/1/25,13:00,3509
2020/1/25,14:00,3466
2020/1/25,15:00,3425
2020/1/25,16:00,3568
2020/1/25,17:00,3827
2020/1/25,18:00,3865
2020/1/25,19:00,3808
2020/1/25,20:00,3732
2020/1/25,21:00,3576
2020/1/25,22:00,3381
2020/1/25,23:00,3182
2020/1/26,0:00,2940
2020/1/26,1:00,2793
2020/1/26,2:00,2735
2020/1/26,3:00,2704
2020/1/26,4:00,2703
2020/1/26,5:00,2769
2020/1/26,6:00,2936
2020/1/26,7:00,3223
2020/1/26,8:00,3606
2020/1/26,9:00,3806
2020/1/26,10:00,3809
2020/1/26,11:00,3730
2020/1/26,12:00,3650
2020/1/26,13:00,3504
2020/1/26,14:00,3442
2020/1/26,15:00,3488
2020/1/26,16:00,3589
2020/1/26,17:00,3890
2020/1/26,18:00,3997
2020/1/26,19:00,3980
2020/1/26,20:00,3927
2020/1/26,21:00,3778
2020/1/26,22:00,3533
2020/1/26,23:00,3307
2020/1/27,0:00,3039
2020/1/27,1:00,2892
2020/1/27,2:00,2835
2020/1/27,3:00,2804
2020/1/27,4:00,2844
2020/1/27,5:00,3079
2020/1/27,6:00,3597
2020/1/27,7:00,4078
2020/1/27,8:00,4529
2020/1/27,9:00,4764
2020/1/27,10:00,4698
2020/1/27,11:00,4633
2020/1/27,12:00,4412
2020/1/27,13:00,4562
2020/1/27,14:00,4516
2020/1/27,15:00,4512
2020/1/27,16:00,4645
2020/1/27,17:00,4705
2020/1/27,18:00,4635
2020/1/27,19:00,4507
2020/1/27,20:00,4371
2020/1/27,21:00,4206
2020/1/27,22:00,3996
2020/1/27,23:00,3730
2020/1/28,0:00,3436
2020/1/28,1:00,3262
2020/1/28,2:00,3189
2020/1/28,3:00,3155
2020/1/28,4:00,3187
2020/1/28,5:00,3413
2020/1/28,6:00,3903
2020/1/28,7:00,4348
2020/1/28,8:00,4826
2020/1/28,9:00,5042
2020/1/28,10:00,4981
2020/1/28,11:00,4889
2020/1/28,12:00,4649
2020/1/28,13:00,4696
2020/1/28,14:00,4645
2020/1/28,15:00,4611
2020/1/28,16:00,4696
2020/1/28,17:00,4715
2020/1/28,18:00,4623
2020/1/28,19:00,4463
2020/1/28,20:00,4304
2020/1/28,21:00,4080
2020/1/28,22:00,3832
2020/1/28,23:00,3527
2020/1/29,0:00,3190
2020/1/29,1:00,3014
2020/1/29,2:00,2941
2020/1/29,3:00,2910
2020/1/29,4:00,2930
2020/1/29,5:00,3078
2020/1/29,6:00,3464
2020/1/29,7:00,3761
2020/1/29,8:00,4053
2020/1/29,9:00,4085
2020/1/29,10:00,3878
2020/1/29,11:00,3717
2020/1/29,12:00,3508
2020/1/29,13:00,3559
2020/1/29,14:00,3524
2020/1/29,15:00,3506
2020/1/29,16:00,3578
2020/1/29,17:00,3756
2020/1/29,18:00,3767
2020/1/29,19:00,3692
2020/1/29,20:00,3590
2020/1/29,21:00,3454
2020/1/29,22:00,3294
2020/1/29,23:00,3093
2020/1/30,0:00,2847
2020/1/30,1:00,2729
2020/1/30,2:00,2696
2020/1/30,3:00,2694
2020/1/30,4:00,2738
2020/1/30,5:00,2906
2020/1/30,6:00,3283
2020/1/30,7:00,3519
2020/1/30,8:00,3683
2020/1/30,9:00,3748
2020/1/30,10:00,3663
2020/1/30,11:00,3575
2020/1/30,12:00,3387
2020/1/30,13:00,3467
2020/1/30,14:00,3442
2020/1/30,15:00,3435
2020/1/30,16:00,3535
2020/1/30,17:00,3738
2020/1/30,18:00,3777
2020/1/30,19:00,3705
2020/1/30,20:00,3609
2020/1/30,21:00,3478
2020/1/30,22:00,3328
2020/1/30,23:00,3125
2020/1/31,0:00,2877
2020/1/31,1:00,2763
2020/1/31,2:00,2733
2020/1/31,3:00,2738
2020/1/31,4:00,2785
2020/1/31,5:00,2967
2020/1/31,6:00,3368
2020/1/31,7:00,3639
2020/1/31,8:00,3867
2020/1/31,9:00,3955
2020/1/31,10:00,3926
2020/1/31,11:00,3873
2020/1/31,12:00,3664
2020/1/31,13:00,3694
2020/1/31,14:00,3653
2020/1/31,15:00,3681
2020/1/31,16:00,3850
2020/1/31,17:00,4100
2020/1/31,18:00,4151
2020/1/31,19:00,4071
2020/1/31,20:00,3976
2020/1/31,21:00,3825
2020/1/31,22:00,3663
2020/1/31,23:00,3455
2020/2/1,0:00,3201
2020/2/1,1:00,3047
2020/2/1,2:00,2972
2020/2/1,3:00,2923
2020/2/1,4:00,2902
2020/2/1,5:00,2982
2020/2/1,6:00,3220
2020/2/1,7:00,3427
2020/2/1,8:00,3560
2020/2/1,9:00,3548
2020/2/1,10:00,3444
2020/2/1,11:00,3352
2020/2/1,12:00,3225
2020/2/1,13:00,3178
2020/2/1,14:00,3129
2020/2/1,15:00,3164
2020/2/1,16:00,3314
2020/2/1,17:00,3641
2020/2/1,18:00,3766
2020/2/1,19:00,3753
2020/2/1,20:00,3697
2020/2/1,21:00,3566
2020/2/1,22:00,3399
2020/2/1,23:00,3221
2020/2/2,0:00,2996
2020/2/2,1:00,2857
2020/2/2,2:00,2803
2020/2/2,3:00,2765
2020/2/2,4:00,2750
2020/2/2,5:00,2804
2020/2/2,6:00,2967
2020/2/2,7:00,3128
2020/2/2,8:00,3235
2020/2/2,9:00,3239
2020/2/2,10:00,3154
2020/2/2,11:00,3069
2020/2/2,12:00,3008
2020/2/2,13:00,2941
2020/2/2,14:00,2887
2020/2/2,15:00,2930
2020/2/2,16:00,3097
2020/2/2,17:00,3495
2020/2/2,18:00,3658
2020/2/2,19:00,3669
2020/2/2,20:00,3615
2020/2/2,21:00,3460
2020/2/2,22:00,3228
2020/2/2,23:00,3022
2020/2/3,0:00,2790
2020/2/3,1:00,2678
2020/2/3,2:00,2651
2020/2/3,3:00,2645
2020/2/3,4:00,2706
2020/2/3,5:00,2920
2020/2/3,6:00,3378
2020/2/3,7:00,3740
2020/2/3,8:00,4009
2020/2/3,9:00,4056
2020/2/3,10:00,3907
2020/2/3,11:00,3792
2020/2/3,12:00,3556
2020/2/3,13:00,3656
2020/2/3,14:00,3648
2020/2/3,15:00,3653
2020/2/3,16:00,3745
2020/2/3,17:00,3928
2020/2/3,18:00,3948
2020/2/3,19:00,3861
2020/2/3,20:00,3766
2020/2/3,21:00,3624
2020/2/3,22:00,3446
2020/2/3,23:00,3213
2020/2/4,0:00,2955
2020/2/4,1:00,2834
2020/2/4,2:00,2806
2020/2/4,3:00,2808
2020/2/4,4:00,2848
2020/2/4,5:00,3046
2020/2/4,6:00,3489
2020/2/4,7:00,3748
2020/2/4,8:00,3950
2020/2/4,9:00,4025
2020/2/4,10:00,4000
2020/2/4,11:00,3919
2020/2/4,12:00,3716
2020/2/4,13:00,3768
2020/2/4,14:00,3746
2020/2/4,15:00,3769
2020/2/4,16:00,3915
2020/2/4,17:00,4131
2020/2/4,18:00,4165
2020/2/4,19:00,4065
2020/2/4,20:00,3950
2020/2/4,21:00,3778
2020/2/4,22:00,3595
2020/2/4,23:00,3359
2020/2/5,0:00,3090
2020/2/5,1:00,2958
2020/2/5,2:00,2909
2020/2/5,3:00,2897
2020/2/5,4:00,2955
2020/2/5,5:00,3175
2020/2/5,6:00,3645
2020/2/5,7:00,3907
2020/2/5,8:00,4043
2020/2/5,9:00,4029
2020/2/5,10:00,3882
2020/2/5,11:00,3785
2020/2/5,12:00,3555
2020/2/5,13:00,3625
2020/2/5,14:00,3599
2020/2/5,15:00,3591
2020/2/5,16:00,3745
2020/2/5,17:00,4028
2020/2/5,18:00,4151
2020/2/5,19:00,4130
2020/2/5,20:00,4072
2020/2/5,21:00,3952
2020/2/5,22:00,3769
2020/2/5,23:00,3547
2020/2/6,0:00,3261
2020/2/6,1:00,3117
2020/2/6,2:00,3056
2020/2/6,3:00,3035
2020/2/6,4:00,3075
2020/2/6,5:00,3302
2020/2/6,6:00,3808
2020/2/6,7:00,4141
2020/2/6,8:00,4359
2020/2/6,9:00,4439
2020/2/6,10:00,4356
2020/2/6,11:00,4260
2020/2/6,12:00,4009
2020/2/6,13:00,4093
2020/2/6,14:00,4086
2020/2/6,15:00,4175
2020/2/6,16:00,4427
2020/2/6,17:00,4754
2020/2/6,18:00,4852
2020/2/6,19:00,4772
2020/2/6,20:00,4674
2020/2/6,21:00,4502
2020/2/6,22:00,4259
2020/2/6,23:00,3981
2020/2/7,0:00,3646
2020/2/7,1:00,3444
2020/2/7,2:00,3357
2020/2/7,3:00,3310
2020/2/7,4:00,3341
2020/2/7,5:00,3596
2020/2/7,6:00,4148
2020/2/7,7:00,4513
2020/2/7,8:00,4709
2020/2/7,9:00,4756
2020/2/7,10:00,4607
2020/2/7,11:00,4458
2020/2/7,12:00,4174
2020/2/7,13:00,4209
2020/2/7,14:00,4138
2020/2/7,15:00,4119
2020/2/7,16:00,4263
2020/2/7,17:00,4522
2020/2/7,18:00,4569
2020/2/7,19:00,4464
2020/2/7,20:00,4346
2020/2/7,21:00,4176
2020/2/7,22:00,3992
2020/2/7,23:00,3771
2020/2/8,0:00,3468
2020/2/8,1:00,3283
2020/2/8,2:00,3170
2020/2/8,3:00,3104
2020/2/8,4:00,3086
2020/2/8,5:00,3178
2020/2/8,6:00,3461
2020/2/8,7:00,3772
2020/2/8,8:00,3937
2020/2/8,9:00,3868
2020/2/8,10:00,3717
2020/2/8,11:00,3563
2020/2/8,12:00,3408
2020/2/8,13:00,3347
2020/2/8,14:00,3290
2020/2/8,15:00,3303
2020/2/8,16:00,3441
2020/2/8,17:00,3778
2020/2/8,18:00,3901
2020/2/8,19:00,3895
2020/2/8,20:00,3847
2020/2/8,21:00,3708
2020/2/8,22:00,3530
2020/2/8,23:00,3356
2020/2/9,0:00,3126
2020/2/9,1:00,2995
2020/2/9,2:00,2933
2020/2/9,3:00,2891
2020/2/9,4:00,2885
2020/2/9,5:00,2950
2020/2/9,6:00,3165
2020/2/9,7:00,3390
2020/2/9,8:00,3499
2020/2/9,9:00,3525
2020/2/9,10:00,3459
2020/2/9,11:00,3360
2020/2/9,12:00,3274
2020/2/9,13:00,3216
2020/2/9,14:00,3175
2020/2/9,15:00,3228
2020/2/9,16:00,3447
2020/2/9,17:00,3911
2020/2/9,18:00,4127
2020/2/9,19:00,4141
2020/2/9,20:00,4104
2020/2/9,21:00,3953
2020/2/9,22:00,3699
2020/2/9,23:00,3463
2020/2/10,0:00,3198
2020/2/10,1:00,3049
2020/2/10,2:00,2983
2020/2/10,3:00,2955
2020/2/10,4:00,3000
2020/2/10,5:00,3250
2020/2/10,6:00,3784
2020/2/10,7:00,4212
2020/2/10,8:00,4576
2020/2/10,9:00,4630
2020/2/10,10:00,4397
2020/2/10,11:00,4190
2020/2/10,12:00,3910
2020/2/10,13:00,3948
2020/2/10,14:00,3891
2020/2/10,15:00,3897
2020/2/10,16:00,4034
2020/2/10,17:00,4284
2020/2/10,18:00,4357
2020/2/10,19:00,4286
2020/2/10,20:00,4185
2020/2/10,21:00,4029
2020/2/10,22:00,3828
2020/2/10,23:00,3598
2020/2/11,0:00,3309
2020/2/11,1:00,3132
2020/2/11,2:00,3051
2020/2/11,3:00,3001
2020/2/11,4:00,3000
2020/2/11,5:00,3104
2020/2/11,6:00,3379
2020/2/11,7:00,3630
2020/2/11,8:00,3818
2020/2/11,9:00,3851
2020/2/11,10:00,3741
2020/2/11,11:00,3628
2020/2/11,12:00,3461
